8190           8190ZT96950           CL518190LA0R000000035.000                    20190405MB1B                9I4    Deficit of SL Unrestricted-use 35 PC : ZT96950 8190 LA0R
8190           8190ZQ88000           CL518190LA0R000000025.000                    20190405MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZQ88000 8190 LA0R
8190           8190ZA1478C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZF66700           SX518190SX91000000001.000                    20190408MB1B                9I31   Reason for Mvmt 0001 not supported (check your entry)
8190           8190ZA1478C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190VAS1240           SX218190SX51000000030.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1240 8190 SX21
8190           8190VAS1240           SX218190SX51000000030.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1240 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190404MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZQ93420           CL518190CL91000000020.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZQ93420 8190 CL51
8190           8190ZA1494C           SX218190SX51000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1494C 8190 SX21
8190           8190ZT97850           CL218190CL51000000020.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT97850 8190 CL21
8190           8190VAS1240           SX218190SX51000000030.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1240 8190 SX21
8190           8190VAS1240           SX218190SX51000000030.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1240 8190 SX21
8190           8190ZP66540           SXA08190SX21000000016.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZP66540 8190 SXA0
8190           8190ZP66540           SXA08190SX21000000016.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZP66540 8190 SXA0
8190           8190ZT45380           FL218190FL51000000020.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 9 PC : ZT45380 8190 FL21
8190           8190ZA1494C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1494C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZT97850           CL218190CL51000000020.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT97850 8190 CL21
8190           8190ZT44180           FL218190FL51000000020.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZT44180 8190 FL21
8190           8190ZQ84350           SX218190SX51000000015.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZQ84350 8190 SX21
8190           8190ZT44180           FL218190FL51000000020.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZT44180 8190 FL21
8190           8190ZA1478C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZQ86690           SX218190SX51000000015.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ86690 8190 SX21
8190           8190ZQ83810           SX218190SX51000000015.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZQ83810 8190 SX21
8190           8190VAS1400           CLA08190CL21000000030.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1400 8190 CLA0
8190           8190ZT44730           FL218190FL51000000020.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZT44730 8190 FL21
8190           8190ZP61630           CLA08190CL21000000020.000                    20190408MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZP61630 8190 CLA0
