8190           8190ZU03090           FL218190FA0R000000054.000                    20180702MB1B                9I4    Deficit of SL Unrestricted-use 52 PC : ZU03090 8190 FA0R
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190ZU03090           FL218190FA0R000000054.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 28 PC : ZU03090 8190 FL21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180705MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180705MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZU03090           FL218190FL51000000020.000                    20180705MB1B                9I3    Deficit of SL Unrestricted-use 14 PC : ZU03090 8190 FL21
8190           8190ZT97850           CL218190CL51000000020.000                    20180704MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT97850 8190 CL21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190ZU06480           FL218190FL51000000020.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZU06480 8190 FL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1250 8190 CL21
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190ZP67750           FLA18190FL21000000010.000                    20180709MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZP67750 8190 FLA1
