8190           8190ZT43850           FL218190FA1R000000030.000                    20180606MB1B                9I4    Deficit of SL Unrestricted-use 6 PC : ZT43850 8190 FA1R
8190           8190WF9812B           SX518190SX91000000015.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WZ70070           SX218190SX91000000005.000                    20180607MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : WZ70070 8190 SX21
8190           8190WF9812B           SX518190SX91000000015.000                    20180609MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180609MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180609MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZF65890 8190 SX51
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZF65890 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180531MB1B                9I3    In plant 8190, post to current period 2018/03
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180607MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190ZA14780           SX518190SX91000000001.000                    20180609MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14780 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190ZT97850           CL218190CL51000000020.000                    20180607MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT97850 8190 CL21
8190           8190ZA1493C           SX218190SX51000000001.000                    20180607MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1493C 8190 SX21
8190           8190ZT43850           FL218190FL51000000005.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZD1173B           SX518190SX91000000005.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZD1173B 8190 SX51
8190           8190ZD1173B           SX518190SX91000000005.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZD1173B 8190 SX51
8190           8190ZT45980           FL218190FL51000000020.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT45980 8190 FL21
8190           8190WF9812B           SX518190SX91000000015.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180611MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
